"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CMA1",0.111814261221911,8.78479315776634,5.87996808473557,8.34899813373398e-06,3.34012090286152e-05,3.0525377228467
"SPSB1",0.111805307124927,10.4406152073957,3.94589840528444,0.000760732752768653,0.0017819542037599,-1.48265830515083
"PKNOX2",0.111709812193629,7.86209826727945,4.39020611586363,0.000265312645652696,0.000697801137857552,-0.434696161420817
"CCL22",0.111661000334724,5.58832790621152,3.57151451990515,0.0018408818740416,0.0039179546749172,-2.35374888210737
"TM4SF4",0.111638020947291,5.65371190368553,3.37178687324342,0.00293723915986708,0.00595445380422002,-2.81050430447823
"PLOD2",0.111614244424012,0.836072833274751,5.04827247893315,5.63463174163951e-05,0.000178077724786366,1.12055184351886
"FLT3",0.111597847270051,9.19616220641849,5.03894519126282,5.7586681713039e-05,0.000181371653832761,1.09860486463093
"RHOQ",0.111496207115596,4.63113903265427,1.93266444506139,0.0671297859315994,0.0965370118923567,-5.74677525832379
"WNT7A",0.111456400054882,5.81529218792227,5.1001216660963,4.99288933897674e-05,0.000160408782927587,1.24246744615319
"FARSA",0.111365367572724,5.46530619744506,3.95657194952427,0.000741738463040605,0.00174224188512436,-1.4576146555351
"MRPL2",0.111331830873721,6.26394801118246,4.47995496130964,0.000214520536739828,0.000576043194273481,-0.22225289999076
"H2AB3",0.111298617780371,3.72563267814219,4.66403485637117,0.000138858384316531,0.000393498665536068,0.213497785572123
"NAV3",0.111278748137886,12.3494171570575,5.88083135177138,8.33278151031411e-06,3.33467500065883e-05,3.05451139151734
"MLLT10",0.111190553038842,5.07862939175153,4.84837663267698,8.99775194918664e-05,0.000269154897129839,0.649314372312404
"LIM2",0.111176851990689,5.6678423245939,5.27598853561868,3.31858999053006e-05,0.000111542948605585,1.65479924411785
"RGS9",0.111134462889459,3.00443279470419,4.17045889080817,0.000446700474036996,0.00111098199077836,-0.954136267806965
"SLC35E2A",0.111125658994668,3.92167183046978,4.32986216783353,0.000306097332015142,0.000792298398528476,-0.577471123967802
"PRKAA2",0.111100806865426,3.69957285543958,6.07834076797096,5.35301406394026e-06,2.25270320824176e-05,3.50402562955148
"CLDN5",0.11109716906899,4.58268265028645,4.72708897919858,0.00011968056365449,0.000346591881085345,0.362664424749327
"NRP2",0.111077995812362,4.57003508614898,4.11326478975709,0.000511596866390932,0.00125417942391227,-1.08903279940809
"AVPR1A",0.11105448211095,8.19219271366866,5.06810926571552,5.37976953528252e-05,0.000171291219962277,1.16721230604814
"CENPJ",0.111018899165652,3.37293564079506,4.71982767307653,0.000121745350006483,0.000351855326604159,0.345490594874558
"SCYL3",0.110919667289202,5.38077926909163,2.62275682590659,0.0160493849738498,0.0269864002068172,-4.43899239723249
"MIR3064",0.110905623754718,10.7741318330648,3.6535439600233,0.00151789452746424,0.00328902831111796,-2.16433027668248
"RIMBP2",0.110873144948441,2.86836234817448,3.64790945835038,0.00153816721852928,0.00332732591224425,-2.17737115768714
"MACROH2A2",0.110864683229272,7.96606635196353,6.39969163184731,2.63200415707797e-06,1.21286236903708e-05,4.22617415150022
"PEA15",0.110774251541691,7.27759239258393,1.56824605167971,0.132042221075025,0.175244344811563,-6.32655982760229
"TMEM43",0.110683129236308,5.18293781929715,3.90763325233362,0.000832892657696185,0.00192666607197568,-1.57236414612749
"CST7",0.110679940893242,11.0238253292033,1.57080728117925,0.131446130369637,0.17452557237051,-6.32280639066204
"ZNRD1ASP",0.11067195719448,4.55152363392559,2.07067405746741,0.0511412933280554,0.0756777677789551,-5.50508858580783
"ZNF230",0.110624464903444,-0.336539159522722,2.30944867714711,0.0313775007444301,0.0491403050670382,-5.06196452850549
"MBL1P",0.110617526222115,4.63759311311206,3.79423469755497,0.00108915320337786,0.00245298908238776,-1.83742192698129
"MYB",0.110580499311787,8.84941405814342,9.79911344127467,3.30100800356285e-09,4.4264616223692e-08,11.0531717877457
"GRAP",0.110543944535212,5.40745216891488,2.54828119263725,0.0188727460588517,0.0311689948451966,-4.59089821730483
"C14orf132",0.110509713941601,5.03275700257494,4.80102039398569,0.000100568227886712,0.000297225184933587,0.537444834208349
"DNTTIP2",0.110484017188761,-3.00593878010541,3.71577757956001,0.001310808559852,0.00288621293285157,-2.02001852849458
"TUFT1",0.110422093009396,2.99172228261276,6.9145397726259,8.67467366374701e-07,4.61903829263801e-06,5.35733100142766
"LILRB1",0.110411837348624,6.46385234332098,2.89019285776484,0.00886430172651962,0.0159747041809471,-3.87654280846201
"SOX17",0.110407323589377,3.76716566443721,5.14647427087532,4.48213522638859e-05,0.000145828820399218,1.35133050110441
"OGN",0.110396834462228,5.24035283537586,8.38251230313648,4.4466487535993e-08,3.76861574709416e-07,8.39287209601627
"SSX2B",0.110321003053238,6.9994403962614,4.59798223027519,0.000162286202181249,0.000451594329668204,0.0571677750312034
"CLPP",0.110294287123288,6.4434454563538,2.95080753778469,0.00773094010164165,0.0141472447758821,-3.74575728084737
"HSPA6",0.110283871745418,9.66667346599783,2.51947529577889,0.0200849776170968,0.0328994913487518,-4.64904596646492
"AP2S1",0.110277529674545,5.17639686250305,3.53885007806765,0.00198757842988251,0.00419461591514097,-2.42890177449437
"CREB5",0.110203356413469,6.05945571404339,7.46066318668095,2.77717598840895e-07,1.7442136197923e-06,6.52009848694202
"NDP",0.110122491455478,4.71658637457105,8.62931929702668,2.77537219169419e-08,2.57920292357299e-07,8.87505308495904
"BNIP3P1",0.110115546291527,0.359682841648318,3.2504283735248,0.00389301741753082,0.00766512623753071,-3.08439513768081
"TMOD3",0.110044148867161,4.07183730163424,7.6899454989023,1.742277915838e-07,1.19058756618044e-06,6.99651024836012
"TRAPPC9",0.109990770416227,9.60314495763998,3.76441167258842,0.00116865551245267,0.00261001089858194,-1.90691263419147
"ATP1B3",0.109920972434111,7.56898436791002,1.18543316770659,0.249327910998405,0.308140459117182,-6.83040902933377
"NDUFS8",0.109900756279546,5.69764449437335,2.68586313929017,0.0139737191724191,0.0238374114455839,-4.30857815830934
"CKMT2",0.109866452040405,9.65031266275463,6.00392201463031,6.32089770780672e-06,2.60609839169906e-05,3.33514091946977
"SLC9A3R2",0.109848297385096,2.5360777361692,5.64541972547687,1.42035478123089e-05,5.3184395697201e-05,2.51357565641626
"MRGBP",0.1098480670871,2.12893241678254,4.28081231296186,0.000343842554561273,0.000878646310544082,-0.693462938093226
"NRL",0.109828396590508,9.89200134110205,3.46951618228516,0.00233811493703223,0.00485360672453149,-2.58785972910659
"SUMO1P2",0.109824176237338,3.20264493649923,3.50779561500916,0.00213768515620801,0.00447965899368349,-2.5001957823254
"FBLN2",0.109780759658332,6.47167464095503,2.52529123506083,0.0198344977449526,0.0325433155825577,-4.6373338132744
"DEXI",0.109765614049949,6.8080442138353,4.86565303947196,8.64010166960371e-05,0.000260096713636448,0.690107425534425
"ANXA2",0.109762308389268,15.9565421513039,1.49250423942987,0.150709701165686,0.197350974530834,-6.43535721521045
"DIS3",0.109711390877774,5.49239098163389,3.1835617613418,0.0045428446542523,0.00881049048044146,-3.23394265356769
"CENPF",0.109677020056747,3.67661695050236,2.72984688646133,0.0126802291101011,0.0218491676512317,-4.216803437415
"CCDC134",0.109611102788194,1.89339546623639,4.61454830551747,0.000156060053372663,0.000436354812989154,0.0963805870975092
"MOB1A",0.109556122889722,4.3256476147344,5.07262428316475,5.32341336702466e-05,0.000169919320982347,1.17782967219451
"SLC25A20",0.109536558184395,14.8412999649865,2.28953953253972,0.0327081082762381,0.0509748125332245,-5.10003639334955
