"","GSM1550052","GSM1550053","GSM1550054","GSM1550055","GSM1550056","GSM1550057","GSM1550058","GSM1550059","GSM1550060","GSM1550061","GSM1571226","GSM1571227","GSM1571228","GSM1571229","GSM1571230","GSM1571231","GSM2419971","GSM2419972","GSM2419973"
"hsa-miR-1279",-0.886478322080778,-1.03023778438991,-0.850632857401858,-0.768794000301669,-1.11799765741106,-0.817997052263149,-1.09009455902289,-0.929958309183098,-1.14872128635835,-0.577185783781578,-0.889531108858171,-1.00599205570539,-1.01524290389868,-0.90646492129404,-0.599388316696441,-0.98287679421701,-1.0701838643116,-0.931207913828121,-0.749013601730164
"hsa-miR-128",3.71838943121351,3.83491207518379,4.02590782081361,2.79231908917692,0.983468654608573,2.84164276897803,3.50575557857081,2.98464949081778,2.96595165526992,-2.27038985414466,1.43898936560533,1.33243977189897,1.32397621271353,1.42349669717195,1.70443969430835,5.82309094349206,2.00571495037449,2.58876516035003,2.7886140725172
"hsa-miR-1281",3.03630144730444,2.88615422226377,2.90234387144702,3.57620846338768,4.54810993910524,3.69671363335831,4.14296818072948,3.8466892714974,4.68250258045192,7.37711953474766,6.41674892365326,4.01506278428211,3.47901056253748,5.36685347102782,6.55129715966905,4.10868091552472,1.94836757054312,5.19211108420288,6.11729463089919
"hsa-miR-1282",-0.923796366671682,-1.04534499532043,-1.02895780397883,-0.704881985690132,-0.783744292008916,-0.919784472164116,-1.07761354098046,-0.63797829581185,-0.876151612379162,-0.654134458597868,-0.815476955708463,-0.926843914281612,-0.935690131450534,-0.831670085157297,-0.538024975540708,-0.904739711643098,-1.00050643991203,-0.874780348193341,-0.689976217701564
"hsa-miR-1283",-0.804372798973459,-0.828530758757863,-0.722316725081709,-0.809368116409173,-0.847836755115288,-0.869508750631044,-0.883218323076598,-0.851374684627146,-0.634677539322168,-0.738868230097121,-0.774489070829382,-0.862722256444946,-0.869730887473946,-0.787318472068866,-0.554670981342204,-0.845209663488509,-0.932231405639119,-0.808353366966703,-0.657583795723198
"hsa-miR-1284",-0.306563847127662,-0.711130525507277,-0.338455060117792,-0.894694504477735,-0.603225954819774,-0.715923197832039,-0.821456880307916,-0.845021076999747,-0.761313027275591,-0.980769116035269,-0.774706290870225,-0.894037164928664,-0.903515980193113,-0.792057400352142,-0.477413559463572,-0.870352278001577,-0.861450231282808,-0.734324545089884,-0.595132969351924
"hsa-miR-1286",-0.870912377366484,-1.05344936271568,-1.1943661672987,-0.974250345481364,-1.02681761585678,-0.659388678683104,-0.819569279236925,-0.767973081727699,-0.846655068323931,-0.329257237632697,-0.693401759520602,-0.805487339606219,-0.814390639073545,-0.709699378948558,-0.414159455147357,-0.783240504397548,-0.89918717099001,-0.850915463465637,-0.671802788299284
"hsa-miR-1287",1.20098033818423,1.42821639941757,1.65642749771145,-0.012575653044707,-1.07538414264118,1.59772788685519,0.374878980043467,0.539246328308844,-1.09966668871612,-1.61741730345422,0.07238939515264,-0.0784452431248508,-0.0904264984621079,0.0504575326479164,0.448168437735446,-0.0485074639836291,-0.0949219779155815,0.320602830994792,0.516441626720037
"hsa-miR-1288",-0.41191243860536,-0.58483020266221,-0.633972497678685,-0.687992668781207,-0.69972198146687,-0.419056944709622,-0.414606163416286,-0.385619972608703,-0.403118086001377,-0.545639119259404,-1.12534679606527,0.0532531638428132,0.750092140429214,-1.13669897900609,-0.930839264577332,-1.18792439345765,0.459135884204386,-1.09558029049462,-0.942655919414066
"hsa-miR-1289",-0.847532407880332,-0.846702019334064,-0.923952910234369,-0.754996742022266,-0.591625082186705,-0.895169017941746,-0.836772913886007,-0.715033793311056,-0.942363422226985,-0.999621777428815,-0.846051461125085,-0.945995804561228,-0.953934688572869,-0.860583704006417,-0.597056998600455,-0.926158771672926,-0.978790470452925,-0.852996939022094,-0.709475008597629
"hsa-miR-129-5p",-1.02275613725755,-1.00565934546963,-0.951282070544728,-0.740726626433947,-0.473034988248035,-0.920004585058794,-0.983560111292281,-0.524503342513879,-0.810621971480034,-0.195306142470949,-0.672978440629301,-0.804146807001307,-0.814565910382472,-0.692050761212241,-0.346194595119337,-0.778112405171565,-0.866220728573826,-0.773352694250024,-0.570805232316662
