"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-147b",0.0508948570972287,-0.833841504244673,0.67564417256828,0.507672258180625,0.848917522632615,-5.73132701160638
"hsa-miR-615-5p",0.0506254274575749,-0.810750220765366,0.550503437182876,0.588597775959481,0.906799111693921,-5.80523992653164
"hsa-miR-876-5p",0.0500792888755566,-0.885097800525296,0.633462247335258,0.534229482678688,0.871713161252591,-5.75785271206212
"hsa-miR-1251",0.0497157002541859,-0.864714261970773,0.606158024458526,0.551817348870977,0.875130903880816,-5.77415249837369
"hsa-miR-325",0.0489519514795738,-0.837078951404133,0.615886084318849,0.545515863724854,0.875130903880816,-5.76842391110372
"hsa-miR-4283",0.0478304586677947,-0.807656419189928,0.490524012024049,0.629563215133784,0.922259744755724,-5.83550304118896
"hsa-miR-631",0.0477993853359211,-0.295733501495609,0.0980126470022662,0.922982368249459,0.977107848421986,-5.94841411924618
"hsa-miR-369-3p",0.0468733436523449,-0.882587088649422,0.709324106324446,0.487017576856357,0.831708133698455,-5.70898493445946
"hsa-miR-619",0.0466740505750751,-0.920419312300841,0.728290807549379,0.475605501472203,0.831708133698455,-5.69595207839545
"hsa-miR-4251",0.0460377749520297,-0.768007100180683,0.846627454293071,0.40808264050416,0.787825059072675,-5.60740513416204
"hsa-miR-412",0.0456930996789137,-0.769610310629102,0.601165124067645,0.555066553532313,0.875130903880816,-5.77705874283565
"hsa-miR-490-3p",0.0455133631559235,-0.890679776899457,0.85391274076557,0.40413685049369,0.787825059072675,-5.60155173885851
"hsa-miR-1204",0.0448976668920544,-0.831633913893398,0.652450415683605,0.522181320508433,0.856659625807078,-5.746113490754
"hsa-miR-617",0.0445893880518806,-0.802220015667068,0.528378676341723,0.603553596499173,0.918188052819543,-5.81679633324866
"hsa-miR-1283",0.0442843480403202,-0.79380960958255,0.850131768950479,0.406181570733332,0.787825059072675,-5.60459533146479
"hsa-miR-548a-3p",0.0438886577470132,-0.587208511655559,0.378191028666194,0.709617724063799,0.939658944061381,-5.88301739196687
"hsa-miR-4277",0.0433089306285943,-0.852869586776093,0.608428716625501,0.55034301649672,0.875130903880816,-5.77282316481881
"hsa-miR-1471",0.0421999825586941,3.20150066451239,0.396535853089551,0.696272253931302,0.937469426000471,-5.87608087436111
"hsa-miR-4315",0.0418353383898593,-0.925668631006519,0.603888206083905,0.55329321186903,0.875130903880816,-5.77547656012225
"hsa-miR-4329",0.0411981128302387,-0.85135685952763,0.448701095939939,0.658888240290847,0.927363603794833,-5.85459705170661
"hsa-miR-4293",0.0410880134951453,-0.878967473869736,0.443642209240733,0.662475499230206,0.927363603794833,-5.85679412846423
"hsa-miR-655",0.0405709687630129,-0.901009571655765,0.734154028562238,0.472110039994653,0.831708133698455,-5.69185775974994
"hsa-miR-190b",0.040512284523585,-0.833036146090714,0.498179004867599,0.624261688982376,0.922259744755724,-5.831829025992
"hsa-miR-634",0.0405011467809877,-0.833508217876853,0.42806619121945,0.673572937254009,0.93560359934367,-5.86340580273443
"hsa-miR-563",0.0402279820630645,-0.839181519298526,0.491940189105899,0.628580858517842,0.922259744755724,-5.83482751626288
"hsa-miR-219-1-3p",0.0401045901031847,-0.895055930791741,0.677775101745857,0.506350816555113,0.848917522632615,-5.72994391826009
"hsa-miR-514b-5p",0.0394837564479444,2.69071919931802,0.290660304993456,0.774562767892938,0.94946160690924,-5.9116512146751
"hsa-miR-2052",0.0393755954592367,-0.83799677846146,0.458193917498002,0.652179826155123,0.927363603794833,-5.85040866111891
"hsa-miR-4292",0.0383193701571012,-0.78235285094932,0.477085536314382,0.638920202932884,0.925595616182007,-5.84181895568082
"hsa-miR-892b",0.0371126151597758,-0.970963024462439,0.506480435864127,0.618536199237609,0.919202973330168,-5.82778229413321
"hsa-miR-4320",0.0370515547818554,-0.84330067538112,0.598243681221747,0.556972413324888,0.875860763959085,-5.77874855379187
"hsa-miR-770-5p",0.0361865544212798,-0.893573277875247,0.46054394433386,0.650523770525007,0.927363603794833,-5.8493585743641
"hsa-miR-891b",0.0343512223627425,-0.609537642941453,0.442822797394621,0.663057337803884,0.927363603794833,-5.85714770825519
"hsa-miR-511",0.0341726207217194,-0.971453822294213,0.464031093051884,0.648069832231247,0.927363603794833,-5.84779071769853
"hsa-miR-548b-3p",0.0333802676906251,-0.891638329076173,0.396553967370559,0.696259125511084,0.937469426000471,-5.87607386553783
"hsa-miR-300",0.0323955217112678,-0.846452853365164,0.522992935192201,0.607222078121647,0.919161599550723,-5.81954004361317
"hsa-miR-596",0.0321395370534956,-0.74805723121632,0.36845325039536,0.716741500989159,0.939658944061381,-5.88656815179637
"hsa-miR-662",0.0314737901839655,0.873524693955105,0.0744811764564325,0.941431522010573,0.981265695070428,-5.95041156873198
"hsa-miR-486-5p",0.0302975709852866,10.4475850237082,0.0905666259167741,0.928815862503272,0.977107848421986,-5.94910505554038
"hsa-miR-520a-5p",0.029549176883806,-0.909761220707983,0.371721476344321,0.714347577251855,0.939658944061381,-5.88538659493591
