,substanceBXH,geneSymbol,LocusLinkID,moduleColor,GS.Factor,p.GS.Factor,MM.grey,p.MM.grey,MM.blue,p.MM.blue,MM.brown,p.MM.brown,MM.greenyellow,p.MM.greenyellow,MM.pink,p.MM.pink,MM.salmon,p.MM.salmon,MM.tan,p.MM.tan,MM.magenta,p.MM.magenta,MM.black,p.MM.black,MM.green,p.MM.green,MM.turquoise,p.MM.turquoise
PRKAA2,PRKAA2,PRKAA2,5563,grey,0.334502589,0.002424021,0.268735221,0.015938108,0.248659097,0.026139728,0.50197906,2.0965E-06,-0.146201812,0.195646826,-0.364860748,0.000876117,0.339057477,0.002093947,0.001403311,0.990143139,-0.32188676,0.003595274,-0.1207012,0.286198473,0.330429534,0.002757945,-0.357522077,0.001130853
DOCK2,DOCK2,DOCK2,1794,grey,-0.33442029,0.002430392,-0.214903517,0.055577343,-0.167479677,0.137565578,-0.405415861,0.00019101,0.175099951,0.120298637,0.269430096,0.01565749,-0.238585172,0.033067184,0.096064638,0.396622837,0.377198542,0.000562659,0.072707894,0.521566064,-0.286012475,0.010114836,0.351559178,0.001385365
PACS1,PACS1,PACS1,55690,grey,-0.334240438,0.002444367,-0.390524178,0.000341884,-0.336885821,0.002245911,-0.149860244,0.184574367,0.469350976,1.12435E-05,0.258519635,0.020591708,-0.349399788,0.001489613,-0.175451179,0.119544881,0.08972034,0.428680722,0.082386592,0.467515777,-0.088996915,0.43242771,0.06683892,0.555810345
SP140,SP140,SP140,11262,grey,0.334221129,0.002445872,0.417103086,0.000118625,0.375359015,0.000601729,0.346777414,0.001625712,-0.466424916,1.29639E-05,-0.365921723,0.000843957,0.411771565,0.000147738,0.217446373,0.052679205,-0.333143009,0.002531214,-0.137748201,0.223039755,0.257661234,0.021030924,-0.109014119,0.33575899
SLC1A7,SLC1A7,SLC1A7,6512,grey,0.334135028,0.002452591,0.259997574,0.019853864,0.233111466,0.037437609,0.501213603,2.18515E-06,-0.151909663,0.178574085,-0.312061933,0.004832748,0.215221586,0.055207858,0.059196933,0.601950177,-0.342357765,0.001880664,-0.277250696,0.012781695,0.310469166,0.00506555,-0.279699237,0.01198111
SMG6,SMG6,SMG6,23293,grey,0.334097173,0.002455551,0.215154365,0.055285777,0.105985391,0.349437201,0.469761774,1.10198E-05,-0.182106951,0.105936801,-0.082867827,0.464910257,0.188580183,0.093888493,0.097600728,0.389079946,-0.582914542,1.40129E-08,0.020667633,0.855608654,0.331975167,0.002626662,0.002382335,0.98326726
GSDME,GSDME,GSDME,1687,grey,0.334086215,0.002456408,0.302891137,0.006314788,0.269473752,0.015640003,0.37554124,0.000597751,-0.232094906,0.038300146,-0.31445693,0.004500544,0.173663098,0.123420248,0.036490256,0.747945854,-0.083209435,0.463065527,-0.079205378,0.484937664,-0.134169097,0.235412461,-0.24608479,0.027781054
CNTN1,CNTN1,CNTN1,1272,grey,0.334062368,0.002458275,0.228930584,0.041091718,0.25692856,0.021412117,0.375698693,0.000594333,-0.09531043,0.400357794,-0.294473056,0.00801441,0.040873346,0.718862773,0.160652681,0.154570614,-0.210329839,0.061117306,-0.139023906,0.218742082,0.120085181,0.288682942,-0.281075637,0.011550504
BPHL,BPHL,BPHL,670,grey,0.334012662,0.002462169,0.199771445,0.075626849,0.238278632,0.033300077,0.327965675,0.002979399,-0.021413026,0.850460247,-0.276132212,0.013162583,0.094316958,0.405309126,0.025734245,0.820743354,-0.04494733,0.69218315,-0.384914234,0.000422748,-0.028133506,0.804349197,-0.252245129,0.023990862
ZNF33B,ZNF33B,ZNF33B,7582,grey,0.333907972,0.002470391,0.398053837,0.00025558,0.384029518,0.000436992,0.398638359,0.0002498,-0.311428545,0.004924163,-0.466738501,1.27684E-05,0.22919384,0.040853203,0.063860133,0.573593046,-0.070452167,0.534600816,-0.145839781,0.196767949,0.15961899,0.157276239,-0.29505837,0.007884416
