,substanceBXH,geneSymbol,LocusLinkID,moduleColor,GS.Factor,p.GS.Factor,MM.grey,p.MM.grey,MM.blue,p.MM.blue,MM.brown,p.MM.brown,MM.greenyellow,p.MM.greenyellow,MM.pink,p.MM.pink,MM.salmon,p.MM.salmon,MM.tan,p.MM.tan,MM.magenta,p.MM.magenta,MM.black,p.MM.black,MM.green,p.MM.green,MM.turquoise,p.MM.turquoise
OFD1,OFD1,OFD1,8481,grey,-0.125449392,0.267524669,-0.104614208,0.35574213,-0.155433215,0.168592645,-0.155894622,0.167316612,0.098570537,0.384362157,0.30756584,0.005515593,-0.263697909,0.018105077,0.12138986,0.283437857,-0.026565583,0.815053735,0.110927912,0.327292767,-0.228975757,0.041050708,0.43759927,4.92673E-05
SON,SON,SON,6651,grey,0.125410013,0.26767608,0.122899645,0.277447689,0.034937069,0.758339156,-0.002702454,0.981019241,-0.21897862,0.050993503,-0.0463232,0.683254914,0.138651295,0.219991282,-0.144708628,0.200300569,-0.016318893,0.885758731,-0.152606788,0.176565845,0.168429718,0.135315943,0.066367855,0.558604854
BCKDHB,BCKDHB,BCKDHB,594,grey,0.125380134,0.267791001,0.082705766,0.465786807,0.044566811,0.694659885,0.246865098,0.027274586,-0.051206635,0.651921898,-0.059307148,0.601272854,-0.06136807,0.588670226,0.144034417,0.202427621,-0.145289001,0.198482421,-0.218032338,0.05202924,-0.262130199,0.018829131,0.04607434,0.684866636
LHX5,LHX5,LHX5,NA,grey,0.125369128,0.267833341,0.109757864,0.332452535,0.151627329,0.179392142,0.244260555,0.028996199,0.014221874,0.900358403,-0.078870918,0.486789153,0.108732467,0.337016529,0.218644097,0.051357698,-0.148169719,0.189632948,-0.136301269,0.227985582,0.159705947,0.157047288,-0.027976519,0.805419396
TRIM14,TRIM14,TRIM14,9830,grey,0.125339818,0.267946121,0.227045766,0.042833403,0.12529402,0.268122402,0.087016534,0.442779707,-0.363045027,0.000933749,0.05831382,0.607389438,0.465836476,1.33383E-05,0.166422922,0.140100998,-0.259488248,0.020105541,0.066788075,0.556111652,0.133994629,0.236027523,0.313596311,0.004617507
RABGAP1,RABGAP1,RABGAP1,23637,grey,-0.125296332,0.268113503,-0.103143007,0.362584666,-0.11989909,0.289436261,-0.116225094,0.304574815,-0.013273785,0.90697027,0.291031366,0.008817519,0.161620229,0.152069676,0.095866689,0.397601111,-0.110463692,0.329333786,-0.045124957,0.691028105,0.099935233,0.377781796,0.384095088,0.000435921
MAP2K6,MAP2K6,MAP2K6,5608,grey,-0.125259849,0.268253983,0.009197038,0.935467527,0.09934288,0.38062963,-0.100650987,0.374357927,0.011652581,0.918290772,-0.179167413,0.111790303,-0.151839337,0.1787776,0.025327115,0.823533124,0.368014743,0.000783641,-0.053049471,0.640249165,-0.368496225,0.000770333,-0.160336071,0.155395614
IVD,IVD,IVD,3712,grey,0.125209517,0.268447874,0.214526735,0.056017644,0.225137164,0.044658988,0.003512464,0.975331687,-0.293807618,0.008164481,-0.223593225,0.046182443,0.216278576,0.0539944,0.036831636,0.745667409,0.096552501,0.394217885,-0.087140982,0.442125119,-0.007337421,0.948495787,-0.130255378,0.24947824
FKBP1A,FKBP1A,FKBP1A,2280,grey,0.125139056,0.268719466,0.245918657,0.027889906,0.161798287,0.151612736,-0.000780962,0.994514424,-0.404078399,0.000201489,-0.043621762,0.700824843,0.301290499,0.006611026,0.140481243,0.213904286,-0.088167197,0.43674805,0.158397281,0.160519187,-0.019972308,0.860416684,0.217010045,0.0531675
PRL,PRL,PRL,5617,grey,0.125118267,0.268799634,0.085508331,0.450755816,0.043981958,0.698472824,0.205468656,0.067488785,-0.13126138,0.245808906,-0.089571661,0.429449292,-0.084501846,0.456122665,-0.000260733,0.99816857,-0.192705919,0.08679003,0.028872236,0.799318045,0.110504319,0.329154838,-0.063552152,0.575446604
CPA3,CPA3,CPA3,NA,grey,-0.125034799,0.269121662,-0.040367766,0.722198052,-0.034832788,0.759038522,-0.173248768,0.124331816,-0.042514944,0.708069709,0.140021552,0.215422038,-0.271147929,0.014981986,-0.02008093,0.859665243,0.043888841,0.699080594,0.375067447,0.000608144,0.07192088,0.52609556,0.110122157,0.330840549
DSC2,DSC2,DSC2,1824,grey,0.125012829,0.26920647,0.075612706,0.505020079,-0.013304886,0.90675327,0.104743547,0.355144423,-0.11692746,0.301641613,-0.118139237,0.296624518,-0.089262765,0.431048584,-0.158149597,0.161182647,-0.071992733,0.525681208,-0.014791166,0.896391455,0.080304541,0.478879417,-0.123617235,0.274630469
ENPP2,ENPP2,ENPP2,5168,grey,0.124984615,0.269315406,0.138335749,0.221053085,0.150752957,0.181942942,0.265378049,0.017355768,-0.060808419,0.592080671,-0.119695414,0.290262252,-0.126917489,0.261921054,0.136018532,0.228960897,-0.158840416,0.159337235,0.154308696,0.171732505,0.154847778,0.170221976,-0.009486312,0.933442346
POU4F2,POU4F2,POU4F2,5458,grey,0.124891424,0.269675428,0.087227464,0.441670551,0.069987709,0.537304565,0.214129533,0.056484888,-0.085759078,0.44942424,-0.282562592,0.011100503,-0.009292086,0.934802062,-0.158045973,0.161460819,-0.053530138,0.637218714,-0.014901488,0.895622999,-0.021256631,0.851539957,-0.312715527,0.004739997
CHST2,CHST2,CHST2,NA,grey,0.124876739,0.26973219,0.120285164,0.287874831,0.038348654,0.735569132,-0.010247673,0.928114174,-0.142080495,0.208683043,0.083777934,0.460004444,0.050938159,0.653629545,0.09818008,0.386257456,-0.125499849,0.267330748,0.034071334,0.764151078,0.176317862,0.117700455,0.175897267,0.118592787
EFNA5,EFNA5,EFNA5,1946,grey,-0.12483434,0.26989612,-0.255862004,0.021977557,-0.238142237,0.033404144,-0.095543402,0.399201872,0.278247585,0.012450313,0.065451009,0.564062988,-0.342504866,0.00187163,-0.353205953,0.001310348,0.137071187,0.225344435,0.029036506,0.798200378,-0.010190063,0.92851723,-0.145008722,0.199358976
NCAPD3,NCAPD3,NCAPD3,23310,grey,-0.124681436,0.270487859,-0.009383978,0.934158732,-0.010385025,0.92715328,-0.108664124,0.337322119,-0.058635654,0.605404707,0.107347973,0.3432412,0.088827574,0.433307495,0.033659489,0.766920515,-0.076599567,0.499461242,0.062515296,0.581707127,0.323105392,0.003463411,0.155430425,0.168600383
MAPK8IP3,MAPK8IP3,MAPK8IP3,23162,grey,0.12466152,0.270564996,0.142711007,0.206649648,0.030983706,0.784983418,0.244542086,0.028805791,-0.145009956,0.19935511,0.107276383,0.343565014,0.03393086,0.765095362,0.25169291,0.024311643,-0.412227187,0.000145014,-0.057279288,0.613788526,0.139775101,0.216238866,0.369154818,0.000752463
HMGN1,HMGN1,HMGN1,3150,grey,0.124632891,0.270675908,0.16577396,0.141675399,0.172656614,0.125643541,0.106406831,0.347513414,-0.099794038,0.378459444,-0.228529374,0.041457446,0.062867913,0.579574528,-0.065886672,0.561466275,0.01504676,0.894611241,0.070542426,0.534076174,0.353598238,0.001293029,-0.218060861,0.051997771
PSME3IP1,PSME3IP1,PSME3IP1,80011,grey,0.124591845,0.270834982,0.092980273,0.412027297,0.174920686,0.120684754,0.095050782,0.40164839,-0.00653141,0.954146999,0.01282863,0.910076936,0.082060089,0.469288048,0.363703471,0.000912463,-0.025308731,0.823659142,-0.183721517,0.102824716,-0.183367291,0.103501309,0.176662462,0.116973209
RNF5,RNF5,RNF5,6048,grey,-0.124553725,0.270982767,-0.084787676,0.45459497,0.003273784,0.977007487,-0.052733237,0.642246134,0.099626623,0.379263879,0.067162261,0.55389607,-0.077006787,0.497176757,0.196305765,0.080949661,0.049951084,0.659923102,0.018259403,0.872282378,-0.238155981,0.033393646,0.150618933,0.182336252
SPTBN2,SPTBN2,SPTBN2,6712,grey,-0.124526808,0.271087154,-0.163160376,0.148151168,-0.045886445,0.686084455,-0.035535723,0.754328014,0.259889513,0.019907035,-0.179066592,0.111995417,-0.196935687,0.079960619,-0.197868217,0.078514158,0.34108093,0.001960742,-0.243254366,0.02968542,-0.22139572,0.048424569,-0.477011142,7.69689E-06
CD52,CD52,CD52,1043,grey,0.124381083,0.27165276,0.28551142,0.010253071,0.337418276,0.002207762,0.198306929,0.077840925,-0.261422424,0.019164071,-0.21843391,0.051587619,0.182963179,0.104277418,0.50201535,2.09238E-06,-0.062234311,0.583409078,-0.16753858,0.137425282,-0.207736361,0.064452861,0.097796919,0.388122766
HBA2,HBA2,HBA2,3040,grey,0.12435165,0.271767097,0.166536918,0.13982581,0.129500531,0.252256033,0.118716554,0.294253628,-0.176742901,0.116803949,-0.062650914,0.580886497,0.151626844,0.17939355,0.108706184,0.337134029,-0.202898794,0.071067588,0.293168216,0.008310998,0.000331706,0.997670044,0.095199325,0.400909747
WASHC3,WASHC3,WASHC3,51019,grey,-0.124118896,0.272672392,-0.061920968,0.585309697,0.023786052,0.834112446,-0.183210894,0.103801137,0.085280736,0.451966336,0.081845037,0.470457351,-0.029286945,0.796497211,0.105299998,0.352580007,0.192732347,0.086745969,-0.127928775,0.258107637,-0.044528276,0.694910883,0.073554273,0.516716964
SCAPER,SCAPER,SCAPER,49855,grey,-0.124106757,0.272719661,-0.171870334,0.127401599,-0.205564864,0.067357682,-0.004168282,0.97072769,0.06820254,0.547758857,0.254723324,0.022595244,-0.233029964,0.03750616,-0.064985343,0.566844782,-0.240757042,0.031455958,0.03981779,0.72583209,0.322105805,0.003571247,0.205639151,0.067256592
PAPOLG,PAPOLG,PAPOLG,64895,grey,-0.124102522,0.272736153,-0.007441069,0.947769251,0.030228492,0.790102577,-0.342909904,0.001846957,-0.11489173,0.310194089,0.088436809,0.435341518,0.010976408,0.923017275,0.132588382,0.241025751,0.236164111,0.034944354,-0.109364052,0.33420072,0.028182966,0.804012098,0.226075164,0.043753902
PRAF2,PRAF2,PRAF2,11230,grey,-0.124051257,0.272935852,-0.180635908,0.108835567,-0.188363192,0.094274107,0.042705613,0.706819783,0.186821242,0.097050272,0.202281211,0.071949986,-0.226326923,0.043513581,0.067619067,0.551197045,-0.13373259,0.236953398,-0.113477676,0.316226282,-0.032893573,0.772078635,0.165493318,0.142360358
STK24,STK24,STK24,8428,grey,-0.124029541,0.273020473,-0.107543677,0.342356971,-0.164367328,0.145133636,-0.242587681,0.030149656,0.00445438,0.96871951,0.321375141,0.003651955,0.019759261,0.861890879,0.061840179,0.58580019,0.009883431,0.930662837,0.22822825,0.041733711,-0.1536141,0.173693261,0.457480464,1.98735E-05
STEAP1B,STEAP1B,STEAP1B,256227,grey,-0.123936886,0.273381724,-0.110861922,0.327582408,-0.084911033,0.45393653,-0.113795396,0.31486439,0.088240353,0.436366153,0.070661257,0.533385846,-0.183977148,0.102338594,-0.0450067,0.691797012,0.167438192,0.137664451,-0.055247197,0.626441997,-0.131580369,0.244653203,0.083687247,0.460491998
SYT17,SYT17,SYT17,51760,grey,0.12387598,0.273619366,0.07508433,0.508009426,0.076275389,0.501283765,0.26473323,0.01764013,0.019926792,0.860731592,-0.110891275,0.327453554,-0.073345425,0.51791137,0.058238037,0.607857203,-0.142070756,0.208714562,-0.184000757,0.102293786,0.016050959,0.887622102,-0.133743777,0.236913816
DCTN1,DCTN1,DCTN1,1639,grey,-0.123758718,0.274077284,-0.146130923,0.195865992,-0.221130721,0.048700905,-0.257347575,0.021193397,0.062961945,0.579006441,0.368969667,0.000757448,-0.143281044,0.204823458,-0.081833338,0.470521005,0.043625185,0.700802478,0.103227948,0.362187422,-0.224254308,0.045524958,0.380518678,0.000497953
PIK3CB,PIK3CB,PIK3CB,5291,grey,0.123521511,0.275005166,0.254471479,0.02273384,0.204879109,0.068296661,-0.030288048,0.789698551,-0.41304462,0.000140242,-0.204705377,0.068536213,0.273688595,0.014029115,-0.047889166,0.673145784,0.017372867,0.878434874,0.063784266,0.57404939,0.187636078,0.095575341,-0.106934051,0.345116087
FCER1G,FCER1G,FCER1G,2207,grey,-0.123454281,0.275268529,-0.102556697,0.365333958,-0.101148109,0.371991006,0.075852699,0.5036653,0.151528272,0.179679804,0.15119341,0.180654734,0.10581128,0.350233914,0.225623277,0.044188018,-0.141477651,0.210640469,-0.019957049,0.860522255,-0.326805924,0.003089041,0.214973947,0.055495354
FHIT,FHIT,FHIT,2272,grey,0.123368687,0.275604076,0.071044597,0.53116191,-0.008916386,0.937432745,0.169334691,0.133199049,-0.158890409,0.159204296,-0.007109133,0.950096145,0.01591966,0.888535459,-0.004677969,0.967150227,-0.225346746,0.044455427,-0.249934932,0.025357225,0.28247883,0.01112544,0.092360236,0.415165456
CSRP3,CSRP3,CSRP3,8048,grey,-0.123317864,0.275803444,-0.305873506,0.005793936,-0.301179843,0.006631952,-0.070573517,0.533895512,0.451063442,2.68056E-05,0.140251141,0.214663062,-0.211531497,0.059620071,-0.356150168,0.00118533,0.129899656,0.250784653,-0.165278304,0.142886826,-0.005146781,0.963860225,-0.155560022,0.168241246
SKP1,SKP1,SKP1,6500,grey,0.123306161,0.275849368,0.204250775,0.069166253,0.330684572,0.002735886,-0.095469637,0.399567652,-0.152463522,0.176977203,-0.421146116,0.00010019,-0.077525383,0.49427538,0.034533371,0.761047649,0.550304019,1.23673E-07,-0.212353354,0.058613343,-0.264541324,0.017725529,-0.404253322,0.000200089
P2RY6,P2RY6,P2RY6,5031,grey,0.123285028,0.275932305,-0.02076396,0.854942979,-0.069093169,0.542530855,0.036157812,0.750166727,0.038738238,0.732982935,0.076993658,0.497250322,0.112053644,0.322376821,-0.079926455,0.480958724,-0.177094802,0.116065698,-0.014120152,0.901067482,0.181579951,0.106968299,-0.012514355,0.912271032
ARHGEF10L,ARHGEF10L,ARHGEF10L,55160,grey,-0.123281279,0.275947018,-0.057191147,0.614335065,-0.03260285,0.774039129,0.017948025,0.874442473,0.028645536,0.800861134,0.212008081,0.059034584,-0.012929526,0.909372678,0.25334197,0.023364376,-0.10072354,0.374011913,0.034516612,0.761160148,-0.253781255,0.023117403,0.339082036,0.002092282
QSOX1,QSOX1,QSOX1,5768,grey,-0.123224849,0.276168572,-0.27204825,0.014638116,-0.346346989,0.001649093,-0.303930986,0.006128674,0.216918154,0.053270806,0.490166294,3.92882E-06,-0.138699945,0.219827894,-0.126333161,0.264141785,-0.176134195,0.118089483,0.14442702,0.201187055,0.046881327,0.679645406,0.381466492,0.000480772
TNNC1,TNNC1,TNNC1,7134,grey,0.123203078,0.276254079,-0.114236863,0.312978353,-0.117019727,0.301257665,0.091385203,0.420128251,0.309318831,0.005239814,-0.091808756,0.417968238,-0.164184684,0.14558728,-0.276351859,0.013087018,-0.014514164,0.89832135,-0.138172373,0.221604253,0.138971232,0.21891837,-0.355595827,0.001208009
FAM234B,FAM234B,FAM234B,NA,grey,-0.123197565,0.276275733,-0.203162055,0.070694097,-0.170373287,0.130800671,0.029239077,0.796822675,0.278360034,0.012413406,0.134786576,0.233244571,-0.130591205,0.248249181,-0.091969776,0.417148757,-0.059903195,0.597615737,0.05439123,0.631804684,-0.019865207,0.861157718,-0.019145873,0.866137904
CXCR2,CXCR2,CXCR2,3579,grey,-0.12309721,0.276670139,-0.020040749,0.859943199,-0.039270484,0.729454504,-0.32943704,0.002845314,-0.054110243,0.63356925,0.301062995,0.006654111,0.01599393,0.888018798,0.232626357,0.037847174,0.09024069,0.425997056,-0.019874341,0.861094515,-0.185084127,0.100254161,0.480519698,6.4506E-06
FNDC8,FNDC8,FNDC8,54752,grey,-0.123081403,0.276732298,-0.098871162,0.382906713,-0.048744341,0.667649389,0.178264583,0.113637442,0.184943182,0.100517701,-0.018113128,0.873297,-0.010247092,0.928118233,0.024156508,0.831566518,-0.022431757,0.843434055,0.04905402,0.6656633,-0.285867359,0.010154704,-0.06772277,0.550585198
ACO1,ACO1,ACO1,48,grey,0.122970894,0.277167109,0.110090137,0.330982038,0.018834589,0.868294648,0.065438454,0.564137905,-0.249198268,0.025806578,-0.081932409,0.469982092,0.166163925,0.140727744,-0.161082271,0.153456445,-0.102614461,0.365062527,0.05882981,0.604208744,0.15553811,0.168301929,-0.012492981,0.912420276
VEZT,VEZT,VEZT,55591,grey,-0.122948052,0.27725704,-0.149362122,0.186054617,-0.147538384,0.191547558,-0.066394182,0.558448495,0.134092421,0.235682635,0.1161979,0.304688756,0.064230459,0.571367958,-0.095483511,0.399498839,0.02510431,0.825060768,-0.130846509,0.247317603,0.058450378,0.606546947,0.069498902,0.540157308
ALB,ALB,ALB,213,grey,0.122842507,0.277672834,0.021235657,0.851684772,0.008127372,0.942959631,0.273771925,0.013998772,0.095560109,0.399119054,0.004551341,0.968038961,0.095857292,0.397647584,0.129020706,0.254032709,-0.246397146,0.027577369,0.012807651,0.910223379,0.217294678,0.052848548,0.002583454,0.981854899
OIP5,OIP5,OIP5,11339,grey,0.122795291,0.277858977,0.084955461,0.453699516,0.154314533,0.171716097,0.1362068,0.228311132,0.006071067,0.957375651,-0.223401382,0.046374703,0.06225362,0.583292047,-0.034721859,0.759782682,0.12027655,0.287909609,-0.317157112,0.00415047,0.050925499,0.653710116,-0.286516834,0.009977336
DUOX1,DUOX1,DUOX1,53905,grey,0.12263531,0.2784903,0.105474223,0.351779457,0.047782411,0.673833131,0.361715492,0.000978111,0.010554328,0.925969013,-0.174064511,0.122541988,0.117754013,0.298213482,-0.089108388,0.431849126,-0.200683447,0.074273731,-0.126355328,0.264057306,0.01334741,0.906456581,-0.163674729,0.146859524
GNRH2,GNRH2,GNRH2,2797,grey,0.122627489,0.278521189,0.043338699,0.702675174,0.081306167,0.473394256,0.344369064,0.001760483,0.073722853,0.51575387,-0.031168558,0.783731796,0.043600335,0.700964844,0.227768136,0.042158792,-0.348030512,0.001559337,-0.179312077,0.111496501,0.13739406,0.224243245,0.035727414,0.753045
SURF1,SURF1,SURF1,6834,grey,0.122606736,0.278603159,0.262148076,0.018820736,0.275458729,0.013396646,0.114999731,0.30973645,-0.352720848,0.001332055,-0.071809426,0.526738597,0.118286519,0.296018479,0.48609958,4.85109E-06,-0.140962966,0.212321925,-0.157928532,0.161776515,-0.119727586,0.290131676,0.2712536,0.014941268
LARGE1,LARGE1,LARGE1,9215,grey,0.122580673,0.278706129,0.088452346,0.435260538,0.112090098,0.322218424,0.344972037,0.001725828,-0.011807375,0.917209146,-0.254386282,0.022780889,-0.091287745,0.420626173,0.111195637,0.326119336,-0.148663937,0.188143842,-0.264403097,0.017787261,0.032501795,0.774720926,-0.212054583,0.058977707
SMG1,SMG1,SMG1,23049,grey,-0.122568108,0.278755781,-0.004102274,0.971191043,-0.05627456,0.620031,-0.263502814,0.01819386,-0.160089392,0.156040658,0.076684364,0.498985085,0.13736421,0.224344893,-0.147018516,0.193134569,0.19114034,0.089431904,0.090084247,0.426802887,-0.017997928,0.874096221,0.160533301,0.154881303
COQ7,COQ7,COQ7,10229,grey,-0.122334763,0.279678914,-0.132024162,0.243051559,-0.067778815,0.550254675,0.046717212,0.680706028,0.203544933,0.070153724,-0.22346956,0.046306301,0.072520211,0.522644442,-0.447780977,3.11671E-05,0.218733746,0.051259888,0.1542982,0.171762013,-0.038725034,0.733070538,-0.520586462,7.42297E-07
MYOT,MYOT,MYOT,9499,grey,-0.122236343,0.280068883,-0.15317692,0.174935747,-0.204908759,0.068255844,-0.005428668,0.961882309,0.157905214,0.161839252,0.09703886,0.391828986,-0.078235312,0.490317999,-0.182115009,0.10592109,-0.068046905,0.54867494,0.286572474,0.009962267,-0.066396062,0.55843733,0.020111515,0.859453679
LUZP2,LUZP2,LUZP2,338645,grey,0.122216943,0.280145796,-0.040742678,0.719724283,-0.141845604,0.209444189,0.20722928,0.065121944,0.068803243,0.544230044,0.0220564,0.846021506,-0.247839638,0.026653041,-0.164803638,0.144054242,-0.259180434,0.020258963,0.000453815,0.99681233,0.008177419,0.942608981,-0.104072475,0.35825238
C17orf75,C17orf75,C17orf75,64149,grey,0.122172667,0.28032138,0.202561513,0.071548407,0.223921625,0.045854857,-0.083568741,0.461129547,-0.213474583,0.057262274,-0.27163957,0.014793353,0.146708515,0.194085411,-0.120192486,0.288249149,0.244507219,0.028829315,0.040023649,0.724471135,0.206909425,0.065546868,-0.29428968,0.008055522
WDR62,WDR62,WDR62,284403,grey,-0.122067492,0.280738766,-0.112634457,0.319859049,-0.054105179,0.633601075,0.093161471,0.411112822,0.203299852,0.070499235,0.077877283,0.492311683,-0.109804547,0.332245683,0.122476523,0.279117855,-0.068518515,0.545901288,-0.091800939,0.418008044,0.038450088,0.734895493,0.023463554,0.836330177
CARS1,CARS1,CARS1,833,grey,0.12201097,0.280963245,0.062266814,0.583212088,0.05606941,0.62130895,0.250837727,0.024815606,0.063425529,0.576209473,-0.109008635,0.335783448,0.192229591,0.087587199,0.167078101,0.138524941,-0.162090658,0.150864669,-0.35921821,0.001066643,0.018536881,0.870358238,0.00011255,0.999209431
GPX5,GPX5,GPX5,2880,grey,-0.121986418,0.281060789,-0.077352895,0.495239405,-0.103111604,0.362731598,-0.006167272,0.956700854,-0.021797744,0.847805448,0.00623698,0.956211925,0.042950381,0.705216348,-0.195637883,0.082008917,-0.072695799,0.521635522,0.138442475,0.220693553,0.240497085,0.031645262,-0.070184695,0.536157027
AEBP1,AEBP1,AEBP1,165,grey,0.121900417,0.281402651,-0.051004667,0.653206353,0.011634933,0.918414101,0.166705947,0.13941852,0.284195628,0.010623961,-0.076525305,0.499878438,-0.156457555,0.165769457,0.03776838,0.739426639,-0.035726186,0.753053215,-0.308300214,0.005398536,0.004581096,0.967830125,-0.208270143,0.063754569
ZNF518A,ZNF518A,ZNF518A,9849,grey,-0.121745924,0.282017469,-0.087896078,0.438165037,-0.053527562,0.637234942,-0.378172303,0.000542928,0.059991072,0.597077395,-0.009088028,0.936230809,-0.052209324,0.645560153,-0.207522576,0.064734265,0.413535267,0.000137448,-0.062333669,0.582807,0.005653597,0.960304211,-0.075679074,0.504645239
COQ10B,COQ10B,COQ10B,80219,grey,-0.12169963,0.282201874,-0.084593849,0.455630622,0.028650808,0.800825243,-0.215238427,0.05518835,0.051467011,0.650267485,-0.0284848,0.801955686,0.102011323,0.367902716,-0.061175092,0.589845203,0.240228866,0.031841586,0.1039471,0.358834886,-0.008085509,0.943252956,-0.146618232,0.194362961
DAB1,DAB1,DAB1,1600,grey,0.121694054,0.282224089,0.109641501,0.332968482,0.06786015,0.549775172,0.321852716,0.003599021,-0.042654137,0.707157157,-0.145390393,0.198166006,0.077117521,0.496556491,0.038416884,0.735115982,-0.167573667,0.137341763,-0.182346169,0.10547114,0.041766674,0.7129824,-0.081855107,0.47040256
HSPA13,HSPA13,HSPA13,NA,grey,0.121585819,0.282655564,0.256968841,0.021391007,0.328805678,0.002902173,0.036893254,0.745256389,-0.266075593,0.017052602,-0.402974714,0.000210532,0.146746614,0.193968372,-0.004344359,0.969491745,0.223647361,0.046128308,-0.111365696,0.325375369,0.336714998,0.002258275,-0.372244419,0.000673564
CRCT1,CRCT1,CRCT1,54544,grey,0.121409524,0.28335929,0.035598421,0.753908294,0.009543165,0.933044369,0.280494526,0.011730633,0.070852605,0.532275166,0.062917576,0.57927446,-0.177935284,0.114317006,0.172041337,0.127017663,-0.304076368,0.006103043,-0.050193221,0.658377038,-0.003648755,0.97437482,0.133480746,0.237845615
ITGAX,ITGAX,ITGAX,3687,grey,0.12135493,0.283577452,0.031352692,0.782485576,-0.05384023,0.635266832,0.099209624,0.38127206,-0.017471681,0.877748748,0.294148295,0.008087346,-0.016773457,0.882598848,0.291886499,0.008611661,-0.417517269,0.000116601,-0.106506594,0.347058984,-0.006806602,0.952217266,0.560227793,6.53409E-08
KCNQ4,KCNQ4,KCNQ4,9132,grey,0.121256498,0.283971076,0.010260121,0.928027084,-0.023276853,0.837614649,0.135242561,0.2316526,0.019649384,0.862651369,0.011426188,0.919872969,-0.198991164,0.076800131,-0.114931358,0.310026118,-0.212559226,0.058363342,0.140207445,0.214807366,0.119245587,0.292091998,-0.087554238,0.439955324
ZNF212,ZNF212,ZNF212,7988,grey,0.121250316,0.283995808,0.034784532,0.759362215,-0.036066196,0.750779126,0.178781205,0.1125776,0.032530335,0.774528357,0.130081896,0.250114783,0.153188826,0.174901824,0.174911781,0.120703958,-0.302436238,0.006397763,-0.141080216,0.21193804,-0.029915863,0.792224317,0.224037359,0.045739868
NTRK3,NTRK3,NTRK3,4916,grey,0.121243607,0.284022655,-0.046631926,0.68125744,-0.101003015,0.372680893,0.290323491,0.008991177,0.076523651,0.499887728,-0.061452123,0.588158785,-0.003873733,0.972795389,-0.190676146,0.090227304,-0.226469445,0.043378018,-0.189751421,0.091828461,0.175877568,0.118634708,-0.175413665,0.119625214
NAA11,NAA11,NAA11,84779,grey,0.121243592,0.284022715,-0.039681207,0.726735523,-0.101782965,0.368981569,0.188404606,0.094200413,0.078238508,0.49030022,-0.092224182,0.415855908,-0.060235057,0.595583861,-0.24880661,0.02604822,-0.210485822,0.060921248,-0.048884255,0.666751783,0.325335624,0.003233221,-0.315763809,0.004327962
TLR7,TLR7,TLR7,51284,grey,0.12122026,0.284116081,0.236080351,0.035010862,0.234202074,0.036530329,0.134000059,0.236008365,-0.353327132,0.001304976,-0.249871555,0.025395622,0.540347491,2.29828E-07,0.059913955,0.597549809,-0.01743143,0.878028223,0.075733097,0.504340226,-0.137269951,0.224666083,-0.122108709,0.280575149
ZW10,ZW10,ZW10,9183,grey,0.121213628,0.284142624,0.146991062,0.19321864,0.110403176,0.329600446,0.075244694,0.507101187,-0.261880067,0.018946922,-0.066914155,0.555364649,0.099536065,0.379699447,0.097259201,0.390749552,-0.11168648,0.323974965,0.061907506,0.585391414,0.124207498,0.272327535,0.097322021,0.390442129
TMEM186,TMEM186,TMEM186,NA,grey,0.121192597,0.284226805,0.143996616,0.202547355,0.268730118,0.015940185,0.168851629,0.134325867,-0.006884042,0.951674285,-0.41874411,0.000110794,-0.106571597,0.346763093,0.066177144,0.55973811,0.311887672,0.004857747,-0.300920424,0.006681237,-0.170982929,0.129408237,-0.36314564,0.000930468
ANK3,ANK3,ANK3,288,grey,-0.12117592,0.284293573,-0.239628508,0.032284732,-0.244424376,0.028885273,0.064387369,0.570426389,0.321394887,0.003649753,-0.037286469,0.742635151,-0.178300344,0.113563832,-0.385707251,0.000410343,0.090606423,0.424116579,-0.262687042,0.018569157,0.042734075,0.706633267,-0.287309433,0.009764552
MPP2,MPP2,MPP2,4355,grey,0.121134204,0.28446063,0.00939897,0.934053778,0.059962573,0.597251958,0.356254944,0.001181087,0.156249762,0.16633932,-0.301525703,0.006566742,-0.025042715,0.82548321,-0.113561449,0.315866826,-0.034147242,0.763640958,-0.536236881,2.95124E-07,0.137211845,0.224864243,-0.450729424,2.72219E-05
KCNE2,KCNE2,KCNE2,NA,grey,0.121132333,0.284468122,-0.020285577,0.858249853,0.024413389,0.829802137,0.220275627,0.049601451,0.147530229,0.19157238,-0.237365721,0.034001825,-0.204708018,0.068532567,-0.169781269,0.132163731,0.05721937,0.61416004,-0.253315239,0.023379477,-0.014803234,0.896307387,-0.416018549,0.000124078
SNX7,SNX7,SNX7,51375,grey,0.120909386,0.28536205,0.072722573,0.521481768,0.033167979,0.770229474,0.032011054,0.778034279,-0.075559148,0.505322676,-0.052848315,0.641519138,0.18725753,0.096258345,-0.135967625,0.22913681,-0.020353532,0.857779958,-0.051775428,0.648309997,0.233778902,0.036880161,-0.125439976,0.267560865
RNF4,RNF4,RNF4,6047,grey,0.120732729,0.286071696,0.263327293,0.018274054,0.239140088,0.032649065,0.047187004,0.677671581,-0.333728274,0.00248456,-0.064825284,0.567802431,0.156867626,0.164649091,0.313298784,0.004658566,-0.102802801,0.364178389,0.140870608,0.212624657,0.108943013,0.336076191,0.291246373,0.008765359
